,Punto,Cluster,Latitud,Longitud
30277,2.2217E+16,4,6.17397465,-75.57020268
30403,2.2217E+16,1,6.17397465,-75.57020268
30853,2.2217E+16,4,6.17397465,-75.57020268
30885,2.2217E+16,2,6.17413636,-75.57031825
30887,2.2217E+16,2,6.17459187,-75.57091293
30892,2.2217E+16,4,6.17413636,-75.57031825
30894,2.2217E+16,4,6.17459187,-75.57091293
30899,2.2217E+16,3,6.17413636,-75.57031825
30901,2.2217E+16,3,6.17459187,-75.57091293
30913,2.2217E+16,1,6.17413636,-75.57031825
30917,2.2217E+16,1,6.17459187,-75.57091293
30955,2.2217E+16,4,6.17413636,-75.57031825
30959,2.2217E+16,4,6.17459187,-75.57091293
31249,2.2217E+16,3,6.17413636,-75.57031825
31253,2.2217E+16,3,6.17459187,-75.57091293
31900,2.2217E+16,1,6.17459187,-75.57091293
31924,2.2217E+16,1,6.17459187,-75.57091293
31964,2.2217E+16,4,6.17459187,-75.57091293
32284,2.2217E+16,1,6.17413636,-75.57031825
32289,2.2217E+16,1,6.17459187,-75.57091293
32295,2.2217E+16,4,6.17413636,-75.57031825
32300,2.2217E+16,4,6.17459187,-75.57091293
32317,2.2217E+16,4,6.17459187,-75.57091293
32337,2.2217E+16,1,6.17459187,-75.57091293
32937,2.2217E+16,1,6.17459187,-75.57091293
32938,2.2217E+16,1,6.17413636,-75.57031825
33032,2.2217E+16,4,6.17459187,-75.57091293
33071,2.2217E+16,1,6.17459187,-75.57091293
33149,2.2217E+16,4,6.17459187,-75.57091293
33161,2.2217E+16,1,6.17459187,-75.57091293
33209,2.2217E+16,4,6.17459187,-75.57091293
33229,2.2217E+16,1,6.17459187,-75.57091293
33389,2.2217E+16,4,6.17413636,-75.57031825
33393,2.2217E+16,4,6.17459187,-75.57091293
33629,2.2217E+16,1,6.17413636,-75.57031825
33633,2.2217E+16,1,6.17459187,-75.57091293
34049,2.2217E+16,4,6.17413636,-75.57031825
34050,2.2217E+16,4,6.17459187,-75.57091293
34061,2.2217E+16,1,6.17413636,-75.57031825
34062,2.2217E+16,1,6.17459187,-75.57091293
34085,2.2217E+16,1,6.17459187,-75.57091293
34105,2.2217E+16,4,6.17459187,-75.57091293
34785,2.2217E+16,4,6.17413636,-75.57031825
34787,2.2217E+16,4,6.17459187,-75.57091293
35016,2.2217E+16,1,6.17413636,-75.57031825
35018,2.2217E+16,1,6.17459187,-75.57091293
35058,2.2217E+16,4,6.17413636,-75.57031825
35059,2.2217E+16,4,6.17459187,-75.57091293
35094,2.2217E+16,4,6.17459187,-75.57091293
35095,2.2217E+16,4,6.17413636,-75.57031825
35194,2.2217E+16,1,6.17459187,-75.57091293
35195,2.2217E+16,1,6.17413636,-75.57031825
35314,2.2217E+16,4,6.17413636,-75.57031825
35318,2.2217E+16,4,6.17459187,-75.57091293
35514,2.2217E+16,4,6.17413636,-75.57031825
35516,2.2217E+16,4,6.17459187,-75.57091293
